step_order,x_t,y_t,z_t,x_dif,y_dif,z_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0,-430.32784075885013,-6.2740647628546,-98.6368469428076,-2.144122241149887,-3.5212622371454003,0.8144149428075877,-22.933297010882566,-43.71915584236375,135.39784676276338,-94.74032099477175,55.416784894781806,-5.552224723991238
1,-463.68352728363686,-3.9434217627609005,-104.9310396449369,-2.072599716363129,-2.8804462372390995,-0.030132355063102523,-19.715908717115287,-45.88433417627589,127.58673648525605,-71.44195245436593,63.25406825744212,-12.680515922984348
2,-496.55705120712867,-7.9009004523901,-102.2673076687397,-1.9154387928713277,-3.2595295476099,0.1577676687397087,-19.443790792575786,-44.136201531157816,123.03188370745586,-73.82564879814187,55.85431883170015,-0.9814097416342191
3,-528.9026123810103,-9.231436331186,-93.64236043673941,-1.8769516189897786,-3.8340386688139994,0.8912574367394086,-18.232225860252846,-39.982614913680806,121.1335285744129,-95.66211195850192,54.93262044841854,5.601157656281401
4,-564.1185551211407,-2.3467556227446003,-102.7861905036491,-2.1660868788592325,-2.6039123772554,-0.05773849635090755,-14.77559498326301,-41.66583548563355,112.34783902596327,-65.22567564943922,70.94561721340693,1.5689073142216587
5,-596.6476501126325,-4.1233715884616,-106.71851459447609,-2.0351098873675255,-2.3938314115384003,-0.6175314055238061,-14.233792044243819,-40.04169531609911,104.12000130670292,-50.6071084893651,68.4862022737471,1.7566651600349623
6,-630.4102115735103,-5.3371252929329,-102.7810296046378,-2.100465426489677,-2.6843817070670006,-0.31187839536219997,-13.692568899979104,-37.76119612451784,100.26077638407085,-56.88373338734647,66.45426584023535,4.942571903752179
7,-661.9768771679974,-8.7907198279195,-92.0457155256615,-1.8805258320026041,-3.6452521720805002,0.4188315256615027,-13.682882114184974,-33.685778240538696,98.73809653841067,-82.21770060269321,60.390201865189766,7.352477759494598
8,-697.6625904693552,-0.1169998527389,-99.5111046611135,-2.3572745306447587,-2.1635531472611,-0.24510933888649333,-10.79537803253217,-32.993995885740844,89.56092217837626,-57.48751167385157,78.98973606536121,6.8393624796440315
9,-730.2740492933857,-0.9860581633289001,-93.40381711289119,-2.390937706614295,-2.4893328366711,0.29825111289119377,-10.387809845397213,-29.661928273873954,85.53422239867523,-68.43502349886012,78.03146989310007,1.3679060443461224
10,-729.339727795789,-7.556054015036399,-51.0084691694781,-2.003853204210941,-1.9680439849636011,-1.3265028305219033,-11.946540615286956,-34.95053516363877,77.99516489378354,-29.448365289447956,64.25433279835389,-2.5687785192297667
11,-696.0973311266413,-2.3859540585577,-35.0028761067773,-2.2898018733586696,-2.7682749414423,0.5879241067773009,-11.304038851899962,-37.81643432290511,94.96563665904074,-75.54336978218596,74.8370307924359,-3.0900043540829345
12,-663.1266481856431,-0.8901149666824001,-35.9258714737397,-2.3662018143568275,-2.5460050333176,0.7074174737396959,-11.602113523358971,-40.458663695874634,100.92216794736213,-76.83036419787491,77.20800026803376,2.886828260965656
13,-630.91936701684,-0.6598008265205,-42.3096362218471,-2.2950879831599877,-2.2206781734794,0.11969722184709752,-12.35997471902852,-44.098289025369866,104.39318654054193,-64.35692227658781,76.45041337850047,7.74449388209621
14,-597.5470296697802,-2.5773938900033,-43.5725376078407,-2.2009933302198306,-2.5893681099967,0.010278607840703557,-13.822034233088456,-46.55062731704824,109.69449213342064,-64.84428210365834,71.4145229402685,-2.346454499462074
15,-563.648244236828,-0.45692082668609996,-37.9793535501628,-2.2442407631720016,-2.7406471733139,0.658968550162804,-14.100644104400066,-47.15525781564268,117.78232762619947,-83.07413242720554,75.37230190857314,1.6933889238644024
16,-529.0512572429479,-9.1988613124219,-50.137018832090796,-1.590893757052072,-2.796567687578099,-0.5925021679092026,-18.238012147016676,-51.017748065614825,116.44114797994006,-52.45170089646369,54.89182221291985,0.21816436276605022
17,-496.5864301820413,-4.7661185494012,-37.8800050047731,-2.036308817958684,-3.3031444505987997,0.8196190047731022,-18.234427845465234,-50.00890804098725,128.8046478981123,-92.4969343428612,63.382808480471674,10.267400687369893
18,-462.08178542489793,-10.604087571039999,-49.1433623118609,-1.4883025751020682,-3.0388304289600008,-0.3108626881391032,-22.25408071170075,-54.64811391142304,127.6863203145628,-61.288328028304605,48.102795914562996,-4.590443033825975
19,-429.0396897466263,-3.6513610301213997,-34.228575316103004,-2.2050742533736525,-3.4243019698784996,1.583662316103009,-21.466912666182765,-48.686976967178154,140.3617830824712,-113.36134477798743,63.09986761828095,5.10885710863515
