step_order,x_t,y_t,z_t,x_dif,y_dif,z_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0,562.9645010692388,-307.5297314450389,0.38066518057890003,8.896541930761146,-1.663460554961091,4.139234819421,111.07183339675662,-87.88505797672745,-92.92021933092937,120.68378419677362,-2.17480483734672,-61.64260512855344,0.39795465480587533
1,596.3168861674352,-308.2994886007218,-5.4773740659845,8.608933832564844,0.906769600721816,2.9026140659846,111.42082703179939,-83.94374410019687,-97.49494486817484,109.50440438766046,0.6362669385911421,-24.546603141525292,-2.81430681024073
2,631.3144598486359,-336.36045158774505,11.1146786135598,9.993543151364065,2.4523055877451156,-9.7226216135598,-59.86790078754692,71.0827889111682,55.385512269128036,102.4039696210745,-44.080155828529,-57.06099573258259,63.50400027579444
3,667.1690625983423,-364.9982219143675,2.7154232475391997,8.393627401657682,-1.459441085632477,-9.2410912475391,-55.84529772169124,69.04848627403372,50.513880231628896,95.25141271197816,-26.615502173541135,-50.59192476096016,62.08263900704509
4,698.7937528998932,-368.6855889106934,12.5877271931246,10.903912100106822,6.3531739106933856,-10.0766031931246,-58.737416726877306,80.2387189351107,67.68439139206257,81.56752494540929,-71.68732785348773,-36.9323006110995,92.41840759598067
5,736.3471480523169,-401.04815368823137,6.349557237261299,9.745584947683028,0.8765666882313781,-10.1188342372613,-53.82168916991554,77.1174517622978,59.3561384372744,73.94476449216087,-44.64553367850914,-35.20895637873584,72.57080109971795
6,733.479851601844,-391.0340544325595,65.7727530351809,9.635997398156064,3.2578344325594912,-17.330171035180904,-55.962253361875895,75.30979673308485,74.77540403959495,68.73479463139701,-55.190098194900905,10.953097175307132,73.23894849864999
7,700.2435246571965,-392.8572482052395,78.8630078894206,8.593323342803501,-4.778701794760423,-14.712145889420597,-44.688151482522336,57.48583958319285,28.960868811568062,85.38703395345613,-13.739192116673415,-44.18664387357129,72.10697726872733
8,666.6992491093193,-361.9823726738733,88.318766129139,10.678577890680685,-1.6008753261267543,-11.512887129139003,-53.18584020403595,59.976283031059914,43.248589349973976,93.80675171341936,-33.72603514937893,-54.25458960926626,84.15883526398217
9,630.3667711424874,-350.7891177518211,70.0062123073728,7.245648857512606,-3.992027248178829,-13.677869307372909,-47.63104738261162,51.388935925707734,30.071148031254406,102.9647433541003,-9.681813033667586,-43.339460628169064,76.70981383427532
10,595.3217881478079,-334.1053785777477,72.8823765538946,6.668041852192118,-5.868727422252334,-13.694293553894703,-44.026834141578725,47.814092042887005,22.463984234034587,111.75915946926084,-7.724929599726782,-55.86125001262327,66.5084521830825
11,563.2124070891717,-303.6105357457987,75.2828767859941,8.56987691082827,-2.4138232542013043,-12.580691785994112,-49.641569291867626,47.6590191821699,28.966310363635763,118.84756630474097,-23.645047748351196,-59.6258595225436,70.78724771204453
12,558.8804239448253,-285.00808450212986,173.0187548482862,10.156490055174686,1.7935305021298404,-7.463960848286291,-59.58484754734281,47.707315456299085,45.02276960648529,112.90774401152376,-55.132809749247606,-65.31837455295822,88.66550836936455
13,597.4073201729976,-325.1550218257218,166.885609612913,9.608036827002365,-3.013202174278206,-8.380657612912984,-53.2071159604341,45.89280252334889,37.49355373791249,108.43166324276726,-23.576349936827675,-60.25173002735055,80.58406512082968
14,632.3452602416703,-341.8574576257518,166.69495276607017,9.362469758329667,-4.054802374248197,-10.793143766070273,-51.34567331499189,48.258199307527356,35.61600966062417,99.67636393030855,-31.150320226327498,-54.21764225395991,78.72096433552836
15,666.4594417299282,-366.3733200776065,152.7092121425048,8.6959352700718,-3.829779922393527,-13.297845142504798,-49.374386237743515,49.65074870599919,35.42394842082259,90.26633314028238,-20.494651286642284,-29.735222188419847,88.62254627501225
16,698.9367807188759,-392.2964113212602,171.1187496859945,10.446808281124163,-4.8527556787396975,-11.840829685994493,-45.117244044366615,53.48709688634916,30.498062436744704,82.29806807848465,-17.606030933640614,-52.98133151343092,78.43094198047895
